"1960",2881.09979779821
"1961",2934.55277761023
"1962",3107.93741663361
"1963",3232.20800930026
"1964",3423.39628164199
"1965",3664.8018703983
"1966",3972.12308994709
"1967",4152.01983719151
"1968",4491.42430452503
"1969",4802.6424850575
"1970",5246.96174628875
"1971",5623.58844462851
"1972",6109.69241910279
"1973",6741.10113303352
"1974",7242.32420249329
"1975",7819.95897635353
"1976",8611.46146260921
"1977",9471.52865750389
"1978",10587.4160433093
"1979",11695.3633556242
"1980",12597.6455055562
"1981",13992.9226987876
"1982",14439.015125354
"1983",15561.2681357788
"1984",17134.3157002014
"1985",18269.2792656479
"1986",19114.8238684396
"1987",20100.7887275114
"1988",21483.1144503659
"1989",22922.4654503908
"1990",23954.5234213194
"1991",24404.9948415098
"1992",25492.9555501844
"1993",26464.7832594
"1994",27776.4265028922
"1995",28781.9496916756
"1996",30068.2272062481
"1997",31572.6352156739
"1998",32948.9512568243
"1999",34639.1198394495
"2000",36467.2954258248
"2001",37285.8159233521
"2002",38175.3763829721
"2003",39682.4722473204
"2004",41928.8861364797
"2005",44313.5852412812
"2006",46443.81019859
"2007",48070.3846862719
"2008",48407.0769099049
"2009",46998.8204153065
"2010",48357.6735692645
"2011",49854.522668348
"2012",51755.2148406452
"2013",53142.8896305155
